id,group,label,links
"Elser,Monica Mueller",GIOS,"Elser,Monica Mueller",3
"Ely,Tucker Drew",CLAS,"Ely,Tucker Drew",1
"Emady,Heather Nicole",IAFSE,"Emady,Heather Nicole",4
"Englin,Jeffrey Eric",WPC,"Englin,Jeffrey Eric",2
"Erchul,William Patrick",CLAS,"Erchul,William Patrick",1
"Ernzen,James J",IAFSE,"Ernzen,James J",2
"Essary,Alison Carol",CHS,"Essary,Alison Carol",1
"Esser,Gregory M",HIDA,"Esser,Gregory M",2
"Essig,Linda",HIDA,"Essig,Linda",1
"Estes,Nicholas",CLAS,"Estes,Nicholas",2
"Etheridge Woodson,Stephani",HIDA,"Etheridge Woodson,Stephani",1
"Evans-Romaine,Dorothy Kathleen",CLAS,"Evans-Romaine,Dorothy Kathleen",4
"Evans,Bronwynne C",CONHI,"Evans,Bronwynne C",1
"Fabes,Richard Allen",CLAS,"Fabes,Richard Allen",2
"Fabricius,William Van",CLAS,"Fabricius,William Van",1
"Fahmi,Noureddine",BDI,"Fahmi,Noureddine",1
"Fainekos,Georgios E.",IAFSE,"Fainekos,Georgios E.",2
"Faleev,Nikolai",IAFSE,"Faleev,Nikolai",3
"Falsetti,Anthony B",ARTS,"Falsetti,Anthony B",1
"Farmer,Jack",CLAS,"Farmer,Jack",2
"Farooque,Mahmud Ali",SFIS,"Farooque,Mahmud Ali",2
"Farrand,Kathleen M.",MLFTC,"Farrand,Kathleen M.",1
"Feeney,Mary K",PUBSRV,"Feeney,Mary K",1
"Feinson,Stephen J",OKED,"Feinson,Stephen J",1
"Feisst,Sabine Maria",HIDA,"Feisst,Sabine Maria",1
"Feller,Andrea Leigh",HIDA,"Feller,Andrea Leigh",2
"Fellmeth,Aaron Xavier",LAW,"Fellmeth,Aaron Xavier",1
"Femiani,John C",IAFSE,"Femiani,John C",1
"Ferguson-Colvin,Kristin Michel",PUBSRV,"Ferguson-Colvin,Kristin Michel",1
"Ferry,David K",IAFSE,"Ferry,David K",1
"Ferry,Lara Annette",ARTS,"Ferry,Lara Annette",1
"Fewell,Jennifer Harrison",CLAS,"Fewell,Jennifer Harrison",1
"Finn,Edward Frederick",HIDA,"Finn,Edward Frederick",5
"Fischman,Gustavo Enrique",MLFTC,"Fischman,Gustavo Enrique",1
"Fisher,Erik",SFIS,"Fisher,Erik",1
"Fitzgerald,Mary M",HIDA,"Fitzgerald,Mary M",1
"Flack,Kimberly Rae",WCJMC,"Flack,Kimberly Rae",1
"Flores,Jodi Reeves",CLAS,"Flores,Jodi Reeves",1
"Flory,Justin David",BDI,"Flory,Justin David",1
"Foltz-Sweat,Jennifer Lynn",ARTS,"Foltz-Sweat,Jennifer Lynn",1
"Forbes,Carolyn Elizabeth",CLAS,"Forbes,Carolyn Elizabeth",1
"Forzani,Erica Silvia",IAFSE,"Forzani,Erica Silvia",3
"Foulger,Teresa S",MLFTC,"Foulger,Teresa S",1
"Fox,Cora Virginia",CLAS,"Fox,Cora Virginia",1
"Fox,Peter",IAFSE,"Fox,Peter",3
"Frakes,David",IAFSE,"Frakes,David",3
"Francisco,Wilson Alex",CLAS,"Francisco,Wilson Alex",1
"Franz,Nico Mario",CLAS,"Franz,Nico Mario",3
"Frasch,Wayne D",CLAS,"Frasch,Wayne D",1
"Fraser,Matthew P",IAFSE,"Fraser,Matthew P",1
"Freakley,Benjamin Clark",EXEC_ADMIN,"Freakley,Benjamin Clark",1
